movieNm,movieCd,image,link,userRating
공포의 묘지,20197423,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181419_P28_165542.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181419,4.86
파이브 피트,20198403,https://ssl.pstatic.net/imgmovie/mdi/mit110/1819/181912_P10_135327.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181912,8.98
요로나의 저주,20183454,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180399_P00_154546.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180399,6.90
크게 될 놈,20198982,https://ssl.pstatic.net/imgmovie/mdi/mit110/1598/159845_P12_102707.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=159845,8.84
왓칭,20182501,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173667_P27_101947.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173667,5.30
아이 엠 마더,20198844,https://ssl.pstatic.net/imgmovie/mdi/mit110/1830/183063_P01_142452.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183063,0.00
어벤져스: 엔드게임,20184889,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136900_P57_104126.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136900,9.39
뽀로로 극장판 보물섬 대모험,20198183,https://ssl.pstatic.net/imgmovie/mdi/mit110/1831/183136_P10_134628.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=183136,9.28
노팅 힐,19990220,https://ssl.pstatic.net/imgmovie/mdi/mit110/0248/24830_P18_133358.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24830,9.07
나의 특별한 형제,20185784,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175366_P31_101140.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175366,8.90
